Date,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
1/12/2021,Laos,"73,738",,170 ,,"7,339",,"66,229",,"9,932",23,"788,302","106,175","7,424,555 ",Asia,101,"43,674",9,,,"8,920"
1/12/2021,Trinidad and Tobago,"71,361",,"2,158 ",,"58,363",,"10,840",22,"50,759","1,535","445,676","317,006","1,405,890 ",North America,20,651,3,,,"7,710"
1/12/2021,Angola,"65,168",,"1,733 ",,"63,214",,221,3,"1,900",51,"1,179,270","34,375","34,306,210 ",Africa,526,"19,796",29,,,6
1/12/2021,Malawi,"61,916",,"2,306 ",,"58,807",,803,67,"3,123",116,"442,053","22,296","19,826,625 ",Africa,320,"8,598",45,,,41
1/12/2021,Ivory Coast,"61,724",,704 ,,"60,739",,281,,"2,261",26,"1,151,972","42,198","27,298,982 ",Africa,442,"38,777",24,,,10
1/12/2021,Réunion,"61,188",,384 ,,"57,781",,"3,023",18,"67,661",425,"1,347,378","1,489,909","904,336 ",Africa,15,"2,355",1,,,"3,343"
1/12/2021,DRC,"58,234",,"1,107 ",,"50,930",,"6,197",,624,12,"306,299","3,280","93,396,693 ",Africa,"1,604","84,369",305,,,66
1/12/2021,Guadeloupe,"55,147",,746 ,,"2,250",,"52,151",23,"137,791","1,864","551,264","1,377,399","400,221 ",North America,7,536,1,,,"130,306"
1/12/2021,Fiji,"52,506",,696 ,,"51,037",,773,,"57,978",769,"460,369","508,347","905,619 ",Australia/Oceania,17,"1,301",2,,,854
1/12/2021,Suriname,"50,848",+25,"1,167 ",+1,"29,574",+4,"20,107",8,"85,595","1,964","159,736","268,891","594,054 ",South America,12,509,4,42,2,"33,847"
1/12/2021,Syria,"48,170",,"2,749 ",,"29,172",,"16,249",,"2,661",152,"103,566","5,722","18,099,930 ",Asia,376,"6,584",175,,,898
1/12/2021,Eswatini,"46,656",,"1,248 ",,"45,242",,166,10,"39,636","1,060","388,843","330,333","1,177,124 ",Africa,25,943,3,,,141
1/12/2021,French Guiana,"46,014",,327 ,,"11,254",,"34,433",9,"148,627","1,056","451,659","1,458,880","309,593 ",South America,7,947,1,,,"111,220"
1/12/2021,French Polynesia,"45,609",,636 ,,N/A,N/A,N/A,7,"161,048","2,246",,,"283,202 ",Australia/Oceania,6,445,,,,"40,512"
1/12/2021,Martinique,"45,501",,718 ,,104,,"44,679",1,"121,383","1,915","416,247","1,110,424","374,854 ",North America,8,522,1,,,"119,190"
1/12/2021,Madagascar,"44,330",,967 ,,"42,915",,448,3,"1,545",34,"283,728","9,888","28,694,316 ",Africa,647,"29,674",101,,,16
1/12/2021,Sudan,"43,084",,"3,159 ",,"32,905",,"7,020",,951,70,"238,579","5,268","45,292,601 ",Africa,"1,051","14,338",190,,,155
1/12/2021,Malta,"39,435",,468 ,,"37,386",,"1,581",2,"88,977","1,056","1,211,456","2,733,405","443,204 ",Europe,11,947,0,,,"3,567"
1/12/2021,Mauritania,"39,266",,832 ,,"37,546",,888,14,"8,143",173,"504,140","104,552","4,821,895 ",Africa,123,"5,796",10,,,184
1/12/2021,Cabo Verde,"38,370",,349 ,,"37,953",,68,23,"67,970",618,"211,166","374,068","564,513 ",Africa,15,"1,618",3,,,120
1/12/2021,Guyana,"37,874",,994 ,,"35,651",,"1,229",18,"47,826","1,255","390,796","493,484","791,913 ",South America,21,797,2,,,"1,552"
1/12/2021,Gabon,"37,342",,279 ,,"32,296",,"4,767",10,"16,237",121,"1,399,453","608,518","2,299,771 ",Africa,62,"8,243",2,,,"2,073"
1/12/2021,Papua New Guinea,"35,179",,546 ,,"33,989",,644,7,"3,830",59,"249,149","27,122","9,186,083 ",Australia/Oceania,261,"16,824",37,,,70
1/12/2021,Guinea,"30,770",,387 ,,"29,725",,658,49,"2,257",28,"569,940","41,801","13,634,756 ",Africa,443,"35,232",24,,,48
1/12/2021,Belize,"30,431",,578 ,,"28,768",,"1,085",10,"74,620","1,417","349,397","856,762","407,811 ",North America,13,706,1,,,"2,661"
1/12/2021,Tanzania,"26,270",,730 ,,N/A,N/A,N/A,7,423,12,,,"62,131,352 ",Africa,"2,365","85,111",,,,408
1/12/2021,Togo,"26,265",,243 ,,"25,915",,107,,"3,071",28,"580,145","67,835","8,552,259 ",Africa,326,"35,194",15,,,13
1/12/2021,Barbados,"25,316",,229 ,,"22,029",,"3,058",,"87,942",795,"436,531","1,516,407","287,872 ",North America,11,"1,257",1,,,"10,623"
1/12/2021,Haiti,"25,175",,738 ,,"21,262",,"3,175",,"2,170",64,"132,422","11,417","11,598,748 ",North America,461,"15,716",88,,,274
1/12/2021,Benin,"24,850",,161 ,,"24,546",,143,5,"1,977",13,"604,310","48,073","12,570,703 ",Africa,506,"78,079",21,,,11
1/12/2021,Seychelles,"23,197",,125 ,,"22,590",,482,,"233,824","1,260",,,"99,207 ",Africa,4,794,,,,"4,859"
1/12/2021,Somalia,"23,016",,"1,327 ",,"12,046",,"9,643",,"1,393",80,"262,138","15,870","16,517,979 ",Africa,718,"12,448",63,,,584
1/12/2021,Bahamas,"22,791",,671 ,,"21,609",,511,4,"57,185","1,684","168,678","423,229","398,550 ",North America,17,594,2,,,"1,282"
1/12/2021,Lesotho,"21,779",,662 ,,"13,689",,"7,428",,"10,054",306,"259,044","119,583","2,166,232 ",Africa,99,"3,272",8,,,"3,429"
1/12/2021,Mauritius,"21,543",,455 ,,"19,716",,"1,372",,"16,900",357,"358,675","281,369","1,274,750 ",Africa,59,"2,802",4,,,"1,076"
1/12/2021,Mayotte,"20,973",,185 ,,"2,964",,"17,824",,"74,348",656,"176,919","627,163","282,094 ",Africa,13,"1,525",2,,,"63,185"
1/12/2021,Burundi,"20,415",,38 ,,773,,"19,604",,"1,648",3,"345,742","27,906","12,389,652 ",Africa,607,"326,043",36,,,"1,582"
1/12/2021,Timor-Leste,"19,822",,122 ,,"19,697",,3,,"14,641",90,"169,501","125,198","1,353,865 ",Asia,68,"11,097",8,,,2
1/12/2021,Congo,"18,970",,354 ,,"12,421",,"6,195",,"3,323",62,"188,207","32,964","5,709,536 ",Africa,301,"16,129",30,,,"1,085"
1/12/2021,Channel Islands,"18,182",,103 ,,"15,907",,"2,172",,"103,233",585,"1,079,242","6,127,670","176,126 ",Europe,10,"1,710",0,,,"12,332"
1/12/2021,Iceland,"17,894",,35 ,,"16,318",,"1,541",2,"51,961",102,"1,248,736","3,626,136","344,371 ",Europe,19,"9,839",0,,,"4,475"
1/12/2021,Mali,"17,434",,606 ,,"15,161",,"1,667",,827,29,"489,401","23,225","21,072,584 ",Africa,"1,209","34,773",43,,,79
1/12/2021,Curaçao,"17,401",,178 ,,"17,119",,104,3,"105,434","1,079","336,234","2,037,276","165,041 ",North America,9,927,0,,,630
1/12/2021,Nicaragua,"17,254",,210 ,,"4,225",,"12,819",,"2,562",31,,,"6,735,816 ",North America,390,"32,075",,,,"1,903"
